# scenario_id: 20
# description: Forward fall when trying to sit down
# age: 32
# height_m: 1.75
# sex: male
# weight_kg: 80.0
t,ax,ay,az,gx,gy,gz,pelvis_z,pelvis_vx,impact_n,accel_mag,fall
0.0,0.04225,0.02285,9.81382,0.81051,-0.42097,-0.23378,0.93563,-0.16913,0.0,9.81394,0
0.01,-0.11918,0.47092,8.98765,0.91456,-0.45338,-0.18566,0.93546,-0.15096,0.0,9.00077,0
0.02,-0.2806,0.91899,8.16149,1.0186,-0.48579,-0.13755,0.93529,-0.13279,0.0,8.21786,0
0.03,-0.44202,1.36706,7.33532,1.12265,-0.5182,-0.08944,0.93512,-0.11462,0.0,7.4747,0
0.04,-0.52565,1.92263,6.70525,1.15971,-0.50235,-0.05165,0.93474,-0.09566,0.0,6.99522,0
0.05,-0.57038,2.53194,6.17322,1.16328,-0.46237,-0.01903,0.93427,-0.07631,0.0,6.69662,0
0.06,-0.61512,3.14126,5.64119,1.16684,-0.42239,0.01359,0.9338,-0.05696,0.0,6.48605,0
0.07,-0.67885,3.74115,5.06179,1.15892,-0.3776,0.04269,0.93327,-0.04145,0.0,6.33078,0
0.08,-0.78059,4.3222,4.38767,1.128,-0.32319,0.06476,0.93264,-0.03361,0.0,6.20825,0
0.09,-0.88233,4.90324,3.71354,1.09708,-0.26879,0.08684,0.932,-0.02576,0.0,6.21375,0
0.1,-0.98406,5.48429,3.03941,1.06617,-0.21438,0.10891,0.93137,-0.01792,0.0,6.34695,0
0.11,-0.98293,5.93338,2.61852,0.99745,-0.16704,0.11512,0.93093,-0.01872,0.0,6.55956,0
0.12,-0.9818,6.38247,2.19763,0.92874,-0.1197,0.12133,0.93049,-0.01952,0.0,6.82125,0
0.13,-0.98067,6.83156,1.77674,0.86002,-0.07236,0.12754,0.93005,-0.02033,0.0,7.12662,0
0.14,-0.92467,7.23982,1.34943,0.78939,-0.05155,0.14662,0.92965,-0.0312,0.0,7.42232,0
0.15,-0.84123,7.62765,0.91891,0.71781,-0.04399,0.17212,0.92927,-0.04712,0.0,7.72872,0
0.16,-0.75779,8.01548,0.4884,0.64622,-0.03644,0.19762,0.92889,-0.06303,0.0,8.06602,0
0.17,-0.69529,8.35164,0.13022,0.58004,-0.03653,0.22524,0.92861,-0.07379,0.0,8.38154,0
0.18,-0.67467,8.58445,-0.08329,0.52466,-0.05189,0.25711,0.92851,-0.07424,0.0,8.61132,0
0.19,-0.65404,8.81725,-0.2968,0.46927,-0.06725,0.28898,0.92841,-0.0747,0.0,8.84646,0
0.2,-0.63342,9.05006,-0.5103,0.41389,-0.08261,0.32085,0.92831,-0.07515,0.0,9.08654,0
0.21,-0.61564,9.09606,-0.65051,0.37446,-0.08435,0.34666,0.92822,-0.06933,0.0,9.14005,0
0.22,-0.59785,9.14206,-0.79071,0.33503,-0.08608,0.37247,0.92813,-0.06351,0.0,9.19565,0
0.23,-0.58007,9.18807,-0.93091,0.2956,-0.08782,0.39828,0.92805,-0.05769,0.0,9.2533,0
0.24,-0.56156,9.24211,-1.04895,0.25743,-0.079,0.41351,0.928,-0.05171,0.0,9.31838,0
0.25,-0.54269,9.30017,-1.1559,0.2199,-0.06489,0.42345,0.92798,-0.04565,0.0,9.38743,0
0.26,-0.52382,9.35824,-1.26286,0.18237,-0.05078,0.43339,0.92795,-0.03959,0.0,9.45758,0
0.27,-0.5169,9.39731,-1.3501,0.14849,-0.037,0.43648,0.92794,-0.03474,0.0,9.50786,0
0.28,-0.53388,9.39843,-1.39789,0.12193,-0.02389,0.42589,0.92795,-0.03228,0.0,9.5168,0
0.29,-0.55085,9.39954,-1.44568,0.09537,-0.01078,0.41531,0.92796,-0.02982,0.0,9.526,0
0.3,-0.56782,9.40065,-1.49347,0.0688,0.00233,0.40472,0.92796,-0.02736,0.0,9.53546,0
0.31,-0.57757,9.38583,-1.52118,0.05676,0.00755,0.39228,0.92799,-0.02738,0.0,9.52583,0
0.32,-0.58731,9.37101,-1.5489,0.04472,0.01276,0.37984,0.92803,-0.0274,0.0,9.5163,0
0.33,-0.59705,9.3562,-1.57662,0.03268,0.01797,0.3674,0.92806,-0.02742,0.0,9.50687,0
0.34,-0.60724,9.34457,-1.60382,0.02626,0.01893,0.35544,0.9281,-0.02703,0.0,9.50063,0
0.35,-0.61764,9.33453,-1.63076,0.02264,0.01776,0.34372,0.92816,-0.02644,0.0,9.49602,0
0.36,-0.62805,9.32449,-1.6577,0.01903,0.01659,0.332,0.92822,-0.02584,0.0,9.4915,0
0.37,-0.63736,9.31036,-1.67915,0.01627,0.01599,0.32093,0.92827,-0.02494,0.0,9.48201,0
0.38,-0.64446,9.28803,-1.68961,0.01524,0.01653,0.31113,0.92833,-0.02342,0.0,9.46243,0
0.39,-0.65157,9.2657,-1.70007,0.01421,0.01708,0.30133,0.92839,-0.0219,0.0,9.44288,0
0.4,-0.65868,9.24337,-1.71053,0.01317,0.01762,0.29154,0.92845,-0.02038,0.0,9.42336,0
0.41,-0.67291,9.24665,-1.70776,0.01279,0.0174,0.28293,0.92849,-0.01888,0.0,9.42707,0
0.42,-0.68714,9.24992,-1.70498,0.01241,0.01717,0.27432,0.92854,-0.01737,0.0,9.43081,0
0.43,-0.70137,9.25319,-1.70221,0.01202,0.01695,0.26571,0.92858,-0.01586,0.0,9.43457,0
0.44,-0.71303,9.26802,-1.707,0.01133,0.01783,0.25522,0.92862,-0.01468,0.0,9.45084,0
0.45,-0.7234,9.28862,-1.71557,0.01048,0.01927,0.24379,0.92866,-0.01365,0.0,9.47339,0
0.46,-0.73378,9.30923,-1.72415,0.00962,0.02071,0.23236,0.92869,-0.01263,0.0,9.49594,0
0.47,-0.7438,9.32907,-1.73067,0.00895,0.02174,0.22171,0.92873,-0.01188,0.0,9.51736,0
0.48,-0.75311,9.34741,-1.73306,0.00864,0.02195,0.21261,0.92875,-0.01169,0.0,9.5365,0
0.49,-0.76242,9.36575,-1.73546,0.00832,0.02216,0.20351,0.92877,-0.01149,0.0,9.55564,0
0.5,-0.77174,9.38408,-1.73786,0.00801,0.02237,0.1944,0.9288,-0.0113,0.0,9.5748,0
0.51,-0.78403,9.39474,-1.74116,0.00876,0.02539,0.18749,0.92882,-0.01153,0.0,9.58684,0
0.52,-0.79632,9.40541,-1.74446,0.00952,0.0284,0.18057,0.92883,-0.01176,0.0,9.5989,0
0.53,-0.80862,9.41607,-1.74776,0.01027,0.03142,0.17366,0.92885,-0.01199,0.0,9.61098,0
0.54,-0.81678,9.42796,-1.7577,0.01079,0.03207,0.16934,0.92887,-0.01231,0.0,9.62513,0
0.55,-0.82287,9.44047,-1.77096,0.01119,0.03153,0.16633,0.92888,-0.01269,0.0,9.64033,0
0.56,-0.82897,9.45298,-1.78422,0.01159,0.031,0.16332,0.92889,-0.01307,0.0,9.65554,0
0.57,-0.83538,9.4648,-1.79281,0.01159,0.03064,0.15987,0.92891,-0.01345,0.0,9.66925,0
0.58,-0.84244,9.47523,-1.79207,0.01081,0.03065,0.15557,0.92892,-0.01382,0.0,9.67994,0
0.59,-0.84951,9.48567,-1.79134,0.01002,0.03066,0.15126,0.92893,-0.0142,0.0,9.69064,0
0.6,-0.85657,9.4961,-1.7906,0.00923,0.03067,0.14695,0.92894,-0.01458,0.0,9.70134,0
0.61,-0.8559,9.49511,-1.78193,0.00841,0.02953,0.14499,0.92895,-0.01488,0.0,9.69871,0
0.62,-0.85522,9.49413,-1.77327,0.00759,0.0284,0.14303,0.92896,-0.01519,0.0,9.6961,0
0.63,-0.85455,9.49314,-1.7646,0.00677,0.02726,0.14107,0.92897,-0.01549,0.0,9.69349,0
0.64,-0.86065,9.49229,-1.76228,0.00669,0.02453,0.13766,0.92898,-0.01572,0.0,9.69278,0
0.65,-0.87013,9.49151,-1.76314,0.00698,0.02101,0.13352,0.92899,-0.01592,0.0,9.69301,0
0.66,-0.87961,9.49073,-1.76399,0.00727,0.01748,0.12937,0.929,-0.01612,0.0,9.69326,0
0.67,-0.88841,9.49142,-1.76675,0.00825,0.01444,0.12527,0.929,-0.01628,0.0,9.69524,0
0.68,-0.89583,9.49505,-1.7733,0.01062,0.01237,0.12125,0.92901,-0.01638,0.0,9.70067,0
0.69,-0.90326,9.49868,-1.77986,0.01299,0.0103,0.11723,0.92902,-0.01647,0.0,9.70612,0
0.7,-0.91068,9.50231,-1.78641,0.01535,0.00822,0.11321,0.92902,-0.01656,0.0,9.71157,0
0.71,-0.90548,9.49399,-1.78482,0.01684,0.00564,0.11021,0.92903,-0.01656,0.0,9.70265,0
0.72,-0.90027,9.48568,-1.78323,0.01832,0.00306,0.1072,0.92904,-0.01655,0.0,9.69373,0
0.73,-0.89507,9.47736,-1.78163,0.0198,0.00048,0.1042,0.92904,-0.01655,0.0,9.68482,0
0.74,-0.89286,9.47763,-1.786,0.01913,-0.00019,0.10142,0.92905,-0.01648,0.0,9.68568,0
0.75,-0.89215,9.4822,-1.79336,0.01739,0.00011,0.09875,0.92905,-0.0164,0.0,9.69145,0
0.76,-0.89143,9.48677,-1.80071,0.01565,0.0004,0.09609,0.92906,-0.01631,0.0,9.69721,0
0.77,-0.89085,9.49008,-1.80647,0.01461,0.00059,0.09311,0.92906,-0.0162,0.0,9.70147,0
0.78,-0.8905,9.49088,-1.80905,0.01496,0.00059,0.0895,0.92907,-0.01605,0.0,9.70271,0
0.79,-0.89016,9.49169,-1.81162,0.01531,0.00058,0.08589,0.92907,-0.0159,0.0,9.70394,0
0.8,-0.88982,9.49249,-1.8142,0.01566,0.00058,0.08228,0.92907,-0.01575,0.0,9.70518,0
0.81,-0.88045,9.4941,-1.81937,0.01639,-0.00074,0.08071,0.92908,-0.01556,0.0,9.70687,0
0.82,-0.87108,9.49572,-1.82455,0.01713,-0.00205,0.07913,0.92908,-0.01537,0.0,9.70857,0
0.83,-0.8617,9.49733,-1.82972,0.01786,-0.00336,0.07755,0.92908,-0.01518,0.0,9.71029,0
0.84,-0.85668,9.49408,-1.82601,0.01831,-0.00311,0.07675,0.92909,-0.01497,0.0,9.70597,0
0.85,-0.85384,9.48841,-1.81786,0.01861,-0.00208,0.07633,0.92909,-0.01476,0.0,9.69864,0
0.86,-0.851,9.48274,-1.80971,0.01892,-0.00105,0.07592,0.92909,-0.01455,0.0,9.69132,0
0.87,-0.85114,9.47788,-1.80589,0.01876,-0.00039,0.07486,0.92909,-0.01433,0.0,9.68586,0
0.88,-0.85724,9.47466,-1.81074,0.01768,-0.00048,0.07252,0.9291,-0.01411,0.0,9.68415,0
0.89,-0.86334,9.47143,-1.81559,0.0166,-0.00057,0.07017,0.9291,-0.01389,0.0,9.68244,0
0.9,-0.86944,9.4682,-1.82044,0.01551,-0.00066,0.06782,0.9291,-0.01367,0.0,9.68074,0
0.91,-0.87126,9.47561,-1.81926,0.01714,-0.00082,0.0683,0.9291,-0.01344,0.0,9.68793,0
0.92,-0.87307,9.48302,-1.81809,0.01877,-0.00099,0.06878,0.9291,-0.01322,0.0,9.69512,0
0.93,-0.87489,9.49042,-1.81692,0.0204,-0.00116,0.06926,0.9291,-0.013,0.0,9.70231,0
0.94,-0.87517,9.49064,-1.82035,0.02106,-0.00121,0.06803,0.9291,-0.01278,0.0,9.70319,0
0.95,-0.87469,9.48726,-1.82608,0.02125,-0.00119,0.06596,0.92911,-0.01256,0.0,9.70092,0
0.96,-0.8742,9.48388,-1.83181,0.02143,-0.00118,0.06389,0.92911,-0.01235,0.0,9.69865,0
0.97,-0.87409,9.48248,-1.83678,0.02088,-0.00122,0.06196,0.92911,-0.01214,0.0,9.6982,0
0.98,-0.87472,9.48502,-1.8402,0.01885,-0.00138,0.06032,0.92911,-0.01193,0.0,9.7014,0
0.99,-0.87535,9.48757,-1.84362,0.01682,-0.00153,0.05867,0.92911,-0.01173,0.0,9.70459,0
1.0,-0.87598,9.49011,-1.84704,0.01479,-0.00169,0.05703,0.92911,-0.01152,0.0,9.70779,0
1.01,-0.87804,9.48576,-1.84412,0.01529,-0.00222,0.05483,0.9291,-0.01132,0.0,9.70316,0
1.02,-0.8801,9.48141,-1.84119,0.01579,-0.00275,0.05263,0.9291,-0.01113,0.0,9.69854,0
1.03,-0.88216,9.47705,-1.83827,0.01628,-0.00329,0.05044,0.9291,-0.01093,0.0,9.69391,0
1.04,-0.88453,9.47402,-1.83532,0.01682,-0.00229,0.04913,0.9291,-0.01074,0.0,9.69061,0
1.05,-0.88705,9.47166,-1.83236,0.01737,-0.00054,0.04828,0.9291,-0.01056,0.0,9.68797,0
1.06,-0.88958,9.46929,-1.8294,0.01792,0.00122,0.04742,0.9291,-0.01037,0.0,9.68533,0
1.07,-0.89468,9.4676,-1.82648,0.01841,0.00264,0.04759,0.9291,-0.01019,0.0,9.68359,0
1.08,-0.90492,9.46723,-1.82363,0.01876,0.00339,0.04982,0.9291,-0.01,0.0,9.68364,0
1.09,-0.91516,9.46687,-1.82079,0.01912,0.00414,0.05205,0.9291,-0.00982,0.0,9.68371,0
1.1,-0.9254,9.4665,-1.81794,0.01947,0.00489,0.05429,0.92909,-0.00964,0.0,9.6838,0
1.11,-0.922,9.47834,-1.81354,0.01988,0.00457,0.05252,0.92909,-0.00947,0.0,9.69422,0
1.12,-0.91861,9.49018,-1.80915,0.02028,0.00426,0.05075,0.92909,-0.00929,0.0,9.70466,0
1.13,-0.91522,9.50202,-1.80475,0.02069,0.00394,0.04898,0.92909,-0.00912,0.0,9.7151,0
1.14,-0.91756,9.50678,-1.80677,0.02061,0.00557,0.04553,0.92909,-0.00895,0.0,9.72035,0
1.15,-0.92276,9.508,-1.812,0.02028,0.00818,0.04124,0.92909,-0.00878,0.0,9.72301,0
1.16,-0.92797,9.50922,-1.81724,0.01996,0.01079,0.03695,0.92908,-0.00861,0.0,9.72567,0
1.17,-0.92998,9.50772,-1.82211,0.02003,0.01237,0.03326,0.92908,-0.00844,0.0,9.72532,0
1.18,-0.92558,9.50081,-1.82628,0.02086,0.01192,0.03075,0.92908,-0.00828,0.0,9.71892,0
1.19,-0.92119,9.4939,-1.83045,0.02169,0.01147,0.02824,0.92908,-0.00812,0.0,9.71253,0
1.2,-0.91679,9.48699,-1.83462,0.02252,0.01102,0.02573,0.92908,-0.00795,0.0,9.70615,0
1.21,-0.92158,9.49501,-1.83954,0.0222,0.01066,0.02419,0.92907,-0.0078,0.0,9.71537,0
1.22,-0.92636,9.50302,-1.84446,0.02187,0.01029,0.02266,0.92907,-0.00764,0.0,9.72459,0
1.23,-0.93115,9.51104,-1.84938,0.02155,0.00992,0.02112,0.92907,-0.00748,0.0,9.73381,0
1.24,-0.92422,9.51763,-1.85866,0.02125,0.0091,0.02086,0.92907,-0.00733,0.0,9.74136,0
1.25,-0.91144,9.52351,-1.87013,0.02097,0.00805,0.02124,0.92907,-0.00718,0.0,9.74809,0
1.26,-0.89865,9.52939,-1.88159,0.02068,0.00699,0.02162,0.92906,-0.00703,0.0,9.75485,0
1.27,-0.89255,9.53337,-1.88736,0.02065,0.00583,0.02151,0.92906,-0.00688,0.0,9.7593,0
1.28,-0.89982,9.53358,-1.88174,0.02116,0.00444,0.02044,0.92906,-0.00674,0.0,9.75909,0
1.29,-0.90709,9.53379,-1.87611,0.02166,0.00305,0.01937,0.92906,-0.0066,0.0,9.75888,0
1.3,-0.91435,9.534,-1.87049,0.02216,0.00166,0.0183,0.92905,-0.00645,0.0,9.75868,0
1.31,-0.91811,9.5311,-1.8592,0.02204,0.00053,0.01878,0.92905,-0.00632,0.0,9.75405,0
1.32,-0.92188,9.5282,-1.84791,0.02191,-0.00059,0.01925,0.92905,-0.00619,0.0,9.74942,0
1.33,-0.92564,9.5253,-1.83662,0.02179,-0.00172,0.01972,0.92905,-0.00605,0.0,9.74481,0
1.34,-0.91906,9.5294,-1.83959,0.02102,-0.00085,0.01888,0.92905,-0.00591,0.0,9.74876,0
1.35,-0.90732,9.53701,-1.84968,0.01993,0.00103,0.0174,0.92904,-0.00578,0.0,9.75701,0
1.36,-0.89558,9.54462,-1.85978,0.01884,0.0029,0.01591,0.92904,-0.00564,0.0,9.76527,0
1.37,-0.88784,9.5511,-1.8684,0.018,0.003,0.01444,0.92904,-0.00552,0.0,9.77255,0
1.38,-0.88812,9.55533,-1.87407,0.01767,-0.00046,0.01298,0.92904,-0.00545,0.0,9.77779,0
1.39,-0.8884,9.55956,-1.87973,0.01734,-0.00393,0.01153,0.92903,-0.00537,0.0,9.78304,0
1.4,-0.88868,9.56379,-1.8854,0.01702,-0.00739,0.01008,0.92903,-0.00529,0.0,9.78829,0
1.41,-0.89342,9.55546,-1.874,0.01522,-0.00701,0.01012,0.92903,-0.00517,0.0,9.77839,0
1.42,-0.89817,9.54713,-1.86259,0.01342,-0.00663,0.01017,0.92903,-0.00504,0.0,9.7685,0
1.43,-0.90291,9.53879,-1.85119,0.01163,-0.00625,0.01021,0.92903,-0.00492,0.0,9.75862,0
1.44,-0.90011,9.53096,-1.84425,0.01118,-0.00633,0.0105,0.92902,-0.00482,0.0,9.7494,0
1.45,-0.89354,9.52339,-1.83955,0.01141,-0.00665,0.0109,0.92902,-0.00473,0.0,9.7405,0
1.46,-0.88697,9.51582,-1.83485,0.01164,-0.00696,0.01131,0.92902,-0.00464,0.0,9.73161,0
1.47,-0.88346,9.51052,-1.83244,0.0117,-0.00685,0.01173,0.92902,-0.00455,0.0,9.72565,0
1.48,-0.8861,9.50976,-1.83461,0.01141,-0.00591,0.01218,0.92902,-0.00446,0.0,9.72556,0
1.49,-0.88873,9.50899,-1.83679,0.01112,-0.00496,0.01262,0.92901,-0.00436,0.0,9.72546,0
1.5,-0.89137,9.50823,-1.83896,0.01082,-0.00401,0.01307,0.92901,-0.00427,0.0,9.72537,0
1.51,-0.88528,9.50388,-1.82916,0.0089,-0.00359,0.01329,0.92901,-0.00418,0.0,9.71871,0
1.52,-0.8792,9.49953,-1.81936,0.00697,-0.00318,0.01352,0.92901,-0.0041,0.0,9.71206,0
1.53,-0.87311,9.49518,-1.80957,0.00504,-0.00276,0.01374,0.92901,-0.00402,0.0,9.70542,0
1.54,-0.87306,9.49387,-1.81044,0.00447,-0.00272,0.01411,0.929,-0.00394,0.0,9.70431,0
1.55,-0.87603,9.49409,-1.81665,0.00458,-0.00288,0.01454,0.929,-0.00386,0.0,9.70595,0
1.56,-0.87899,9.49431,-1.82286,0.00469,-0.00304,0.01497,0.929,-0.00379,0.0,9.70759,0
1.57,-0.88159,9.49436,-1.82651,0.00508,-0.00268,0.01528,0.929,-0.00371,0.0,9.70856,0
1.58,-0.88345,9.49407,-1.82501,0.00602,-0.0013,0.01535,0.929,-0.00364,0.0,9.70816,0
1.59,-0.8853,9.49378,-1.82352,0.00697,7e-05,0.01542,0.92899,-0.00357,0.0,9.70777,0
1.6,-0.88716,9.49349,-1.82202,0.00791,0.00145,0.0155,0.92899,-0.0035,0.0,9.70738,0
1.61,-0.89563,9.49403,-1.82162,0.00894,0.0016,0.01496,0.92899,-0.00342,0.0,9.70861,0
1.62,-0.9041,9.49457,-1.82121,0.00996,0.00175,0.01442,0.92899,-0.00334,0.0,9.70984,0
1.63,-0.91257,9.49511,-1.82081,0.01099,0.00189,0.01389,0.92898,-0.00327,0.0,9.71109,0
1.64,-0.91145,9.49539,-1.82167,0.01127,0.00187,0.01414,0.92898,-0.00321,0.0,9.71142,0
1.65,-0.90554,9.49554,-1.82315,0.01119,0.00177,0.01478,0.92898,-0.00316,0.0,9.71129,0
1.66,-0.89963,9.49568,-1.82464,0.0111,0.00167,0.01543,0.92898,-0.0031,0.0,9.71116,0
1.67,-0.89508,9.4985,-1.82459,0.01109,0.00189,0.01551,0.92898,-0.00305,0.0,9.71348,0
1.68,-0.89325,9.50663,-1.82148,0.01126,0.00276,0.01446,0.92897,-0.003,0.0,9.72069,0
1.69,-0.89143,9.51477,-1.81837,0.01144,0.00363,0.01342,0.92897,-0.00294,0.0,9.7279,0
1.7,-0.8896,9.52291,-1.81526,0.01161,0.00451,0.01237,0.92897,-0.00289,0.0,9.73511,0
1.71,-0.89129,9.52365,-1.81969,0.01233,0.00355,0.01413,0.92897,-0.00283,0.0,9.73681,0
1.72,-0.89298,9.52439,-1.82411,0.01306,0.0026,0.01589,0.92897,-0.00276,0.0,9.73852,0
1.73,-0.89467,9.52513,-1.82853,0.01379,0.00165,0.01766,0.92896,-0.0027,0.0,9.74023,0
1.74,-0.90108,9.52154,-1.82853,0.01454,0.00188,0.01808,0.92896,-0.00265,0.0,9.73731,0
1.75,-0.90984,9.5158,-1.82631,0.01531,0.0027,0.01783,0.92896,-0.00261,0.0,9.73209,0
1.76,-0.91861,9.51005,-1.8241,0.01609,0.00352,0.01758,0.92896,-0.00257,0.0,9.72688,0
1.77,-0.92483,9.50536,-1.82409,0.01626,0.0044,0.01707,0.92896,-0.00253,0.0,9.72289,0
1.78,-0.92596,9.5028,-1.82848,0.01524,0.00541,0.01601,0.92896,-0.00248,0.0,9.72132,0
1.79,-0.92709,9.50024,-1.83288,0.01423,0.00641,0.01496,0.92895,-0.00243,0.0,9.71974,0
1.8,-0.92823,9.49767,-1.83727,0.01321,0.00742,0.01391,0.92895,-0.00238,0.0,9.71818,0
1.81,-0.9338,9.49899,-1.83873,0.01256,0.00622,0.01352,0.92895,-0.00233,0.0,9.72028,0
1.82,-0.93936,9.50031,-1.84019,0.0119,0.00503,0.01312,0.92895,-0.00229,0.0,9.72238,0
1.83,-0.94493,9.50163,-1.84165,0.01124,0.00384,0.01273,0.92895,-0.00224,0.0,9.72448,0
1.84,-0.94553,9.50201,-1.84632,0.01126,0.00235,0.01121,0.92894,-0.0022,0.0,9.7258,0
1.85,-0.94364,9.50192,-1.8526,0.01162,0.00072,0.00912,0.92894,-0.00216,0.0,9.72672,0
1.86,-0.94175,9.50183,-1.85888,0.01198,-0.00091,0.00703,0.92894,-0.00212,0.0,9.72764,0
1.87,-0.94176,9.50227,-1.86338,0.01276,-0.00157,0.00556,0.92894,-0.00208,0.0,9.72894,0
1.88,-0.94557,9.5038,-1.86434,0.01439,-0.00028,0.00532,0.92894,-0.00206,0.0,9.73098,0
1.89,-0.94937,9.50532,-1.86531,0.01602,0.00101,0.00508,0.92893,-0.00204,0.0,9.73302,0
1.9,-0.95317,9.50684,-1.86627,0.01765,0.0023,0.00484,0.92893,-0.00202,0.0,9.73507,0
1.91,-0.95226,9.50343,-1.86862,0.01696,0.00269,0.00392,0.92893,-0.00199,0.0,9.7321,0
1.92,-0.95134,9.50003,-1.87096,0.01627,0.00309,0.00299,0.92893,-0.00195,0.0,9.72914,0
1.93,-0.95042,9.49662,-1.87331,0.01559,0.00349,0.00206,0.92893,-0.00191,0.0,9.72617,0
1.94,-0.94756,9.50349,-1.87569,0.0155,0.00409,0.00158,0.92893,-0.00187,0.0,9.73306,0
1.95,-0.94373,9.5155,-1.87809,0.01571,0.00478,0.00132,0.92892,-0.00184,0.0,9.74488,0
1.96,-0.9399,9.52751,-1.88049,0.01593,0.00548,0.00105,0.92892,-0.00181,0.0,9.7567,0
1.97,-0.93694,9.53563,-1.88233,0.0157,0.00588,0.00113,0.92892,-0.00178,0.0,9.7647,0
1.98,-0.9357,9.53599,-1.88305,0.01459,0.00569,0.0019,0.92892,-0.00175,0.0,9.76506,0
1.99,-0.93447,9.53634,-1.88376,0.01348,0.00549,0.00266,0.92892,-0.00173,0.0,9.76543,0
2.0,-0.93324,9.53669,-1.88447,0.01237,0.0053,0.00343,0.92891,-0.0017,0.0,9.76579,0
2.01,-0.9252,9.54239,-1.87329,0.01154,0.00606,0.00367,0.92891,-0.00168,0.0,9.76844,0
2.02,-0.91717,9.54808,-1.86211,0.0107,0.00683,0.0039,0.92891,-0.00165,0.0,9.7711,0
2.03,-0.90913,9.55378,-1.85092,0.00986,0.00759,0.00414,0.92891,-0.00163,0.0,9.77379,0
2.04,-0.89967,9.55179,-1.85278,0.00927,0.00604,0.00381,0.92891,-0.0016,0.0,9.77133,0
2.05,-0.88951,9.54595,-1.86115,0.0088,0.00334,0.00321,0.92891,-0.00157,0.0,9.76628,0
2.06,-0.87934,9.54012,-1.86952,0.00833,0.00064,0.00261,0.9289,-0.00153,0.0,9.76126,0
2.07,-0.87555,9.53658,-1.87513,0.00879,-0.00073,0.00204,0.9289,-0.0015,0.0,9.75854,0
2.08,-0.88452,9.53763,-1.8752,0.01112,0.00056,0.00153,0.9289,-0.00149,0.0,9.76038,0
2.09,-0.89349,9.53867,-1.87528,0.01345,0.00185,0.00102,0.9289,-0.00148,0.0,9.76224,0
2.1,-0.90246,9.53972,-1.87535,0.01578,0.00314,0.00051,0.9289,-0.00146,0.0,9.7641,0
2.11,-0.91004,9.54245,-1.88505,0.0175,0.00437,0.00023,0.9289,-0.00145,0.0,9.76933,0
2.12,-0.91763,9.54518,-1.89474,0.01923,0.0056,-4e-05,0.92889,-0.00143,0.0,9.77458,0
2.13,-0.92521,9.54791,-1.90443,0.02095,0.00683,-0.00031,0.92889,-0.00141,0.0,9.77985,0
2.14,-0.93466,9.55351,-1.908,0.02197,0.00587,-0.00065,0.92889,-0.0014,0.0,9.78691,0
2.15,-0.94504,9.56055,-1.9085,0.02263,0.00381,-0.00101,0.92889,-0.00138,0.0,9.79488,0
2.16,-0.95543,9.56759,-1.909,0.02329,0.00176,-0.00137,0.92889,-0.00136,0.0,9.80285,0
2.17,-0.96165,9.57157,-1.91014,0.02368,5e-05,-0.00153,0.92889,-0.00135,0.0,9.80756,0
2.18,-0.95956,9.56941,-1.91255,0.02351,-0.00096,-0.00132,0.92888,-0.00134,0.0,9.80572,0
2.19,-0.95747,9.56726,-1.91495,0.02335,-0.00196,-0.0011,0.92888,-0.00132,0.0,9.80389,0
2.2,-0.95537,9.5651,-1.91736,0.02319,-0.00297,-0.00088,0.92888,-0.00131,0.0,9.80205,0
2.21,-0.95341,9.56624,-1.91178,0.02115,-0.00424,0.00078,0.92888,-0.00128,0.0,9.80188,0
2.22,-0.95144,9.56738,-1.90619,0.0191,-0.00552,0.00245,0.92888,-0.00124,0.0,9.80172,0
2.23,-0.94948,9.56852,-1.90061,0.01706,-0.0068,0.00412,0.92888,-0.0012,0.0,9.80155,0
2.24,-0.94671,9.5646,-1.89319,0.01626,-0.00591,0.00466,0.92887,-0.00119,0.0,9.79602,0
2.25,-0.94355,9.55815,-1.88486,0.01608,-0.00395,0.00465,0.92887,-0.00119,0.0,9.78781,0
2.26,-0.94039,9.55169,-1.87653,0.0159,-0.00199,0.00463,0.92887,-0.00119,0.0,9.7796,0
2.27,-0.93416,9.55057,-1.87228,0.01603,-0.00038,0.00509,0.92887,-0.00118,0.0,9.77709,0
2.28,-0.9218,9.56013,-1.87618,0.01682,0.00054,0.00647,0.92887,-0.00117,0.0,9.786,0
2.29,-0.90944,9.56968,-1.88009,0.0176,0.00145,0.00785,0.92887,-0.00117,0.0,9.79492,0
2.3,-0.89708,9.57923,-1.884,0.01839,0.00237,0.00924,0.92886,-0.00116,0.0,9.80387,0
2.31,-0.90495,9.58033,-1.87959,0.01603,0.00109,0.0066,0.92886,-0.00115,0.0,9.80482,0
2.32,-0.91282,9.58143,-1.87517,0.01367,-0.00019,0.00396,0.92886,-0.00114,0.0,9.80578,0
2.33,-0.92068,9.58254,-1.87076,0.01131,-0.00146,0.00132,0.92886,-0.00113,0.0,9.80675,0
2.34,-0.92471,9.58365,-1.86507,0.01064,-0.00055,-0.00043,0.92886,-0.00111,0.0,9.80713,0
2.35,-0.9268,9.58477,-1.85873,0.01081,0.00147,-0.00173,0.92886,-0.00109,0.0,9.80722,0
2.36,-0.9289,9.58589,-1.8524,0.01098,0.00349,-0.00303,0.92885,-0.00107,0.0,9.80732,0
2.37,-0.93353,9.58545,-1.84873,0.0111,0.00401,-0.00376,0.92885,-0.00106,0.0,9.80664,0
